site,lat,long
ARIK,39.758206,-102.447148
BIGC,37.059719,-119.257549
BLDE,44.95011,-110.58715
BLUE,34.444218,-96.624201
CARI,65.153224,-147.503973
COMO,40.034962,-105.544164
CUPE,18.11352,-66.98676
GUIL,18.17406,-66.79868
HOPB,42.471941,-72.329526
KING,39.105061,-96.603829
LECO,35.690428,-83.50379
LEWI,39.095637,-77.983216
MART,45.790835,-121.933788
MAYF,32.960365,-87.407688
MCDI,38.945861,-96.443022
MCRA,44.259598,-122.165554
OKSR,68.66975,-149.14302
POSE,38.89431,-78.147258
PRIN,33.378517,-97.782312
REDB,40.783934,-111.797887
SYCA,33.750993,-111.508091
TECR,36.95528,-119.02699
WALK,35.957378,-84.279251
WLOU,39.891366,-105.915395
