site_id,temp_mean,gpp,mean_om
ARIK,11.508845832616826,1728.3167315921191,0.5050600000000001
BIGC,10.31902340015448,727.3088298888266,0.3536917562724014
CARI,0.949125685851183,352.57288355094505,0.2985
GUIL,21.050852514493823,4234.547876966913,0.3463978494623656
HOPB,8.82111041053957,540.9273011137093,0.4712903225806451
KING,12.492013689910463,1919.190969109957,9.228709677419355
LECO,12.515646845053922,1402.3027082061492,0.30655913978494626
MART,8.272099859029709,891.0590677551993,0.4623118279569892
OKSR,1.0218874666747133,420.21042610903845,0.41432625999999995
REDB,5.722501861400089,821.1400937505912,0.10945999999999999
WALK,13.915338220128092,403.10747735994784,4.591720430107527
WLOU,2.4226255222685387,351.2191650843909,1.9287096774193548
LEWI,12.696024021420872,4828.134055302223,37.708333333333336
TECR,5.676901301847157,350.33856226729085,3.515483870967742
BLUE,15.68485696103008,7924.926408328105,0.1691
CUPE,22.94231250296113,3343.630403923476,0.10209677419354839
MCDI,12.505334359433133,1572.6783647529428,0.5458064516129032
MCRA,6.768817125783324,1719.1341314526574,0.7367204301075269
POSE,11.954614610007672,250.2332717664417,1.2106451612903226
PRIN,16.930547575744963,2479.0847752198138,2.0483333333333333
SYCA,19.28638730691226,11957.140093277743,1.805752688172043
BLDE,4.416168153356436,907.3532379214632,0.5156989247311827
